"","Crime Type","Occurance","Community Area"
"3","BATTERY",103,18
"31","BATTERY",222,20
"33","BATTERY",1364,23
"34","BATTERY",2991,25
"35","BATTERY",992,27
"36","BATTERY",1763,29
"37","BATTERY",863,30
"38","BATTERY",532,40
"39","BATTERY",677,42
"310","BATTERY",1597,43
"311","BATTERY",199,45
"312","BATTERY",890,46
"313","BATTERY",73,47
"314","BATTERY",1173,49
"315","BATTERY",195,50
"316","BATTERY",221,52
"317","BATTERY",675,53
"318","BATTERY",302,54
"319","BATTERY",111,55
"320","BATTERY",428,58
"330","BATTERY",867,61
"331","BATTERY",365,63
"332","BATTERY",1048,66
"333","BATTERY",1346,67
"334","BATTERY",1290,68
"335","BATTERY",1279,69
"336","BATTERY",1349,71
"337","BATTERY",480,73
"338","BATTERY",311,75
"18","NARCOTICS",1101,26
"32","THEFT",708,1
"321","THEFT",528,2
"322","THEFT",809,3
"323","THEFT",400,4
"324","THEFT",346,5
"325","THEFT",1635,6
"326","THEFT",1466,7
"327","THEFT",3729,8
"328","THEFT",51,9
"329","THEFT",249,10
"3210","THEFT",217,11
"3211","THEFT",114,12
"3212","THEFT",224,13
"3213","THEFT",418,14
"3214","THEFT",569,15
"3215","THEFT",480,16
"3216","THEFT",252,17
"3217","THEFT",734,19
"3218","THEFT",455,21
"3219","THEFT",1390,22
"3220","THEFT",2442,24
"3221","THEFT",2799,28
"3222","THEFT",465,31
"3223","THEFT",3680,32
"3224","THEFT",530,33
"3225","THEFT",187,34
"3226","THEFT",498,35
"3227","THEFT",143,36
"3228","THEFT",188,37
"3229","THEFT",570,38
"3230","THEFT",256,39
"3231","THEFT",414,41
"3232","THEFT",1046,44
"3233","THEFT",208,48
"3234","THEFT",312,51
"3235","THEFT",402,56
"3236","THEFT",159,57
"3237","THEFT",192,59
"3238","THEFT",295,60
"3239","THEFT",192,62
"3240","THEFT",156,64
"3241","THEFT",438,65
"3242","THEFT",428,70
"3243","THEFT",196,72
"3244","THEFT",116,74
"3245","THEFT",399,76
"3246","THEFT",568,77
