"","Crime Type","Occurance"
"32","THEFT",708
"3","BATTERY",587
"7","CRIMINAL DAMAGE",327
"2","ASSAULT",183
"25","OTHER OFFENSE",178
"9","DECEPTIVE PRACTICE",176
"4","BURGLARY",145
"29","ROBBERY",130
"8","CRIMINAL TRESPASS",108
"17","MOTOR VEHICLE THEFT",92
"18","NARCOTICS",77
"6","CRIM SEXUAL ASSAULT",28
"23","OFFENSE INVOLVING CHILDREN",27
"33","WEAPONS VIOLATION",24
"30","SEX OFFENSE",17
"28","PUBLIC PEACE VIOLATION",15
"13","INTERFERENCE WITH PUBLIC OFFICER",12
"26","PROSTITUTION",12
"11","HOMICIDE",4
"16","LIQUOR LAW VIOLATION",4
"1","ARSON",3
"14","INTIMIDATION",1
"15","KIDNAPPING",1
"27","PUBLIC INDECENCY",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
